epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,2523.18,0.75354,1.1174,0.48551,0.85832,0,0.58076,0.49678,0.47793,0.31188,0.55687,0.46097,0.43077,0.24085,1.03687,1.85823,0.92715,1.04933,0,0.000118041,0.000118041,0.000118041
62,2550.83,0.73022,1.06449,0.46244,0.84932,0,0.51169,0.535,0.48428,0.317,0.47521,0.49876,0.43361,0.24527,1.03391,1.82423,0.91793,1.04641,0,9.96675e-05,9.96675e-05,9.96675e-05
63,2575.76,0.71989,1.04465,0.46476,0.84983,0,0.56394,0.45563,0.4838,0.31429,0.52521,0.41633,0.43013,0.23967,1.03276,1.81462,0.92269,1.0422,0,8.31275e-05,8.31275e-05,8.31275e-05
64,2601.02,0.71512,1.02779,0.44918,0.84557,0,0.70406,0.45297,0.47446,0.31018,0.66684,0.42018,0.4266,0.23767,1.03201,1.81855,0.92983,1.04179,0,6.8454e-05,6.8454e-05,6.8454e-05
65,2626.12,0.71538,1.03188,0.44775,0.84552,0,0.69483,0.45205,0.47721,0.3115,0.67113,0.41197,0.42824,0.23838,1.03554,1.83084,0.93643,1.04452,0,5.56768e-05,5.56768e-05,5.56768e-05
66,2651.07,0.71521,1.04513,0.44603,0.84484,0,0.69479,0.45063,0.47689,0.31187,0.66478,0.41106,0.42522,0.23631,1.03127,1.82381,0.93515,1.04162,0,4.48214e-05,4.48214e-05,4.48214e-05
67,2676.21,0.7105,1.03458,0.45316,0.8477,0,0.54934,0.45076,0.47245,0.30926,0.66869,0.40892,0.42268,0.2368,1.03421,1.82597,0.93635,1.04544,0,3.59097e-05,3.59097e-05,3.59097e-05
68,2703.61,0.71286,1.04463,0.44917,0.84459,0,0.55262,0.44815,0.46875,0.3064,0.67186,0.40711,0.41704,0.23185,1.03255,1.82951,0.9336,1.04225,0,2.89597e-05,2.89597e-05,2.89597e-05
69,2728.42,0.70712,1.02465,0.44297,0.84429,0,0.69732,0.45017,0.46952,0.30636,0.67002,0.40845,0.41804,0.233,1.03516,1.81888,0.936,1.04267,0,2.39854e-05,2.39854e-05,2.39854e-05
70,2753.32,0.70641,1.02846,0.44123,0.84666,0,0.70088,0.43976,0.46904,0.30611,0.66465,0.40616,0.41606,0.23325,1.03754,1.82564,0.94214,1.04521,0,2.09969e-05,2.09969e-05,2.09969e-05
