epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,5713.8,0.84676,1.26105,0.6043,0.90314,0,0.54975,0.48841,0.49983,0.33045,0.53556,0.45946,0.46431,0.26662,1.01119,1.62584,0.92276,1.0292,0,0.000921257,0.000921257,0.000921257
39,5860.71,0.83436,1.23242,0.60044,0.90526,0,0.55462,0.45991,0.4828,0.31747,0.53851,0.44107,0.45353,0.25504,1.02371,1.69198,0.94097,1.04018,0,0.000877109,0.000877109,0.000877109
40,6011.39,0.82628,1.22266,0.59145,0.89674,0,0.54937,0.49714,0.49672,0.32787,0.5377,0.46823,0.46746,0.26788,1.00885,1.63911,0.91528,1.02937,0,0.000833229,0.000833229,0.000833229
41,6156.97,0.81813,1.22734,0.58132,0.89663,0,0.54142,0.46273,0.47241,0.30882,0.52507,0.44527,0.44098,0.24725,1.01009,1.65965,0.94454,1.03962,0,0.000789704,0.000789704,0.000789704
42,6306.75,0.8168,1.22139,0.57861,0.89582,0,0.70007,0.47146,0.49166,0.32705,0.68629,0.44674,0.45916,0.25937,1.01916,1.67693,0.92331,1.04577,0,0.000746624,0.000746624,0.000746624
43,6458.11,0.81552,1.21231,0.56954,0.89225,0,0.53351,0.49165,0.49816,0.33047,0.52994,0.45911,0.46713,0.26365,1.01701,1.70159,0.92524,1.03789,0,0.000704073,0.000704073,0.000704073
44,6607.34,0.81537,1.216,0.57005,0.89531,0,0.53648,0.4887,0.49358,0.33065,0.52257,0.45877,0.45892,0.26633,1.00386,1.65831,0.91867,1.02933,0,0.000662139,0.000662139,0.000662139
45,6756.77,0.80136,1.18912,0.56397,0.88969,0,0.55272,0.4819,0.49345,0.32671,0.527,0.46452,0.46246,0.26212,1.00413,1.65789,0.92997,1.03077,0,0.000620905,0.000620905,0.000620905
46,6906.71,0.80163,1.18905,0.56376,0.88899,0,0.52904,0.48006,0.48285,0.31837,0.50725,0.47027,0.45601,0.25741,1.00602,1.65987,0.93427,1.03526,0,0.000580455,0.000580455,0.000580455
47,7057.28,0.78835,1.16375,0.54912,0.88575,0,0.51351,0.50044,0.50141,0.33587,0.49468,0.47624,0.46928,0.2703,1.00825,1.64746,0.90991,1.03802,0,0.00054087,0.00054087,0.00054087
48,7205.33,0.78256,1.17292,0.54646,0.88676,0,0.53438,0.50302,0.5065,0.33903,0.52529,0.47572,0.47762,0.27797,1.0105,1.68887,0.91598,1.03734,0,0.00050223,0.00050223,0.00050223
49,7353.83,0.78367,1.16612,0.5392,0.88189,0,0.53345,0.48461,0.48669,0.32466,0.51668,0.46001,0.4557,0.25851,1.00233,1.68154,0.92498,1.03361,0,0.000464612,0.000464612,0.000464612
50,7501.13,0.78448,1.15732,0.55239,0.88434,0,0.56701,0.48437,0.49956,0.33453,0.54497,0.46195,0.46864,0.26484,0.99038,1.66128,0.90969,1.03177,0,0.000428093,0.000428093,0.000428093
51,7649.02,0.77071,1.14572,0.53182,0.8827,0,0.69689,0.49193,0.49871,0.3311,0.66999,0.4626,0.46353,0.26573,0.99205,1.68462,0.90904,1.03185,0,0.000392745,0.000392745,0.000392745
52,7793,0.76344,1.13116,0.52782,0.87855,0,0.70278,0.48377,0.49928,0.33547,0.68375,0.45851,0.46761,0.26887,0.98781,1.67778,0.91215,1.03205,0,0.000358641,0.000358641,0.000358641
53,7944.74,0.77569,1.15547,0.52752,0.87544,0,0.68371,0.50738,0.50579,0.33879,0.66912,0.47792,0.47584,0.27553,0.99449,1.66316,0.90113,1.03036,0,0.000325848,0.000325848,0.000325848
54,8092.07,0.7448,1.0956,0.5103,0.87506,0,0.68866,0.4742,0.50858,0.33747,0.68154,0.44826,0.47973,0.27456,0.9947,1.69658,0.93161,1.03563,0,0.000294433,0.000294433,0.000294433
