epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,2212.35,0.9688,1.5026,0.78327,0.95982,0,0.66775,0.50429,0.55937,0.35647,0.64585,0.4816,0.52022,0.30236,1.09165,1.79787,1.06031,1.07528,0,0.000877109,0.000877109,0.000877109
40,2264.58,0.95168,1.48733,0.77097,0.96019,0,0.63515,0.55951,0.57005,0.37255,0.61049,0.53831,0.54173,0.31799,1.073,1.75079,1.02068,1.07153,0,0.000833229,0.000833229,0.000833229
41,2325.48,0.94918,1.46801,0.77709,0.95903,0,0.65934,0.54078,0.585,0.37944,0.63862,0.51726,0.55109,0.33343,1.07086,1.72874,1.0183,1.07314,0,0.000789704,0.000789704,0.000789704
42,2382.67,0.95315,1.46214,0.77751,0.96578,0,0.54757,0.56727,0.54132,0.35309,0.62257,0.49106,0.51392,0.30691,1.07082,1.74989,1.04008,1.07246,0,0.000746624,0.000746624,0.000746624
43,2434.89,0.92893,1.47942,0.74897,0.9492,0,0.62018,0.55867,0.57396,0.37745,0.60002,0.53474,0.53342,0.32428,1.06958,1.74248,1.0297,1.0701,0,0.000704073,0.000704073,0.000704073
44,2490.64,0.92751,1.44432,0.74468,0.94828,0,0.65821,0.52653,0.57353,0.37702,0.63741,0.5104,0.54438,0.3322,1.04983,1.7182,1.03327,1.0639,0,0.000662139,0.000662139,0.000662139
45,2544.75,0.92281,1.44203,0.72814,0.94246,0,0.58302,0.54281,0.54797,0.36373,0.56155,0.50554,0.50452,0.30353,1.05453,1.75844,1.03756,1.06328,0,0.000620905,0.000620905,0.000620905
46,2603.13,0.93984,1.47059,0.74181,0.94934,0,0.62955,0.55916,0.57618,0.38303,0.61065,0.53767,0.54386,0.32729,1.05732,1.72165,1.01707,1.06734,0,0.000580455,0.000580455,0.000580455
47,2659.17,0.94425,1.48641,0.74882,0.95512,0,0.58528,0.57757,0.56059,0.37236,0.55876,0.54902,0.52304,0.31315,1.05477,1.72565,1.04867,1.0681,0,0.00054087,0.00054087,0.00054087
48,2715.36,0.91883,1.43311,0.71582,0.94547,0,0.66113,0.54182,0.56648,0.37729,0.64316,0.525,0.53898,0.32874,1.05654,1.71676,1.03071,1.06953,0,0.00050223,0.00050223,0.00050223
49,2769.75,0.90133,1.39806,0.70432,0.93268,0,0.62152,0.55049,0.57112,0.38136,0.68111,0.48147,0.54016,0.32235,1.04478,1.6989,1.00764,1.06685,0,0.000464612,0.000464612,0.000464612
50,2824.21,0.91083,1.41825,0.71473,0.94288,0,0.59655,0.57207,0.56258,0.37381,0.6452,0.51297,0.53735,0.3196,1.04867,1.73113,1.00713,1.06223,0,0.000428093,0.000428093,0.000428093
51,2882.21,0.89149,1.38484,0.6896,0.93439,0,0.64892,0.55711,0.57428,0.3837,0.62684,0.53609,0.54379,0.32196,1.03291,1.69963,1.00066,1.05561,0,0.000392745,0.000392745,0.000392745
52,2939.37,0.91682,1.45265,0.71654,0.93962,0,0.61371,0.55694,0.57135,0.37986,0.59864,0.53344,0.53935,0.32361,1.04382,1.70961,1.0113,1.06331,0,0.000358641,0.000358641,0.000358641
53,2992.91,0.9018,1.41426,0.68917,0.93294,0,0.66508,0.52037,0.56232,0.37776,0.63605,0.5029,0.52809,0.31596,1.03552,1.70452,1.03113,1.06274,0,0.000325848,0.000325848,0.000325848
54,3044.57,0.87709,1.36722,0.68207,0.92908,0,0.6688,0.53342,0.5654,0.37736,0.65912,0.51317,0.53321,0.3227,1.03607,1.68508,1.00537,1.0601,0,0.000294433,0.000294433,0.000294433
55,3098.45,0.88947,1.40285,0.68801,0.93423,0,0.65965,0.52216,0.55916,0.37895,0.63878,0.49802,0.52308,0.32192,1.02183,1.6812,1.01658,1.05289,0,0.000264459,0.000264459,0.000264459
56,3155.85,0.88981,1.39421,0.68429,0.93185,0,0.63893,0.52224,0.56797,0.38394,0.62519,0.49849,0.53217,0.32588,1.02663,1.69097,0.9927,1.05522,0,0.000235987,0.000235987,0.000235987
57,3208.69,0.86612,1.3388,0.66938,0.93293,0,0.64904,0.5179,0.56138,0.37679,0.62681,0.5181,0.53367,0.32232,1.02062,1.68234,1.01664,1.0496,0,0.000209073,0.000209073,0.000209073
58,3260.79,0.87883,1.37126,0.66381,0.92672,0,0.65066,0.52266,0.56922,0.38484,0.67278,0.50673,0.54537,0.32908,1.02663,1.69116,1.00234,1.05491,0,0.000183772,0.000183772,0.000183772
59,3312.02,0.87707,1.38329,0.65723,0.92345,0,0.66374,0.54196,0.58496,0.3897,0.67475,0.49938,0.54596,0.33118,1.01462,1.67933,0.98661,1.0497,0,0.000160136,0.000160136,0.000160136
60,3367.82,0.86464,1.35875,0.65072,0.92186,0,0.69394,0.52903,0.58207,0.3895,0.70268,0.49476,0.54376,0.33175,1.01758,1.6825,0.99614,1.05169,0,0.00013821,0.00013821,0.00013821
61,3415.83,0.8777,1.3487,0.68603,0.93265,0,0.6363,0.55184,0.56765,0.37741,0.61442,0.51173,0.53542,0.32699,1.03681,1.74991,1.02563,1.06925,0,0.000118041,0.000118041,0.000118041
62,3447.6,0.8656,1.33951,0.66552,0.93231,0,0.60911,0.53734,0.55833,0.37611,0.58779,0.51689,0.52316,0.31618,1.03762,1.76069,1.02225,1.07324,0,9.96675e-05,9.96675e-05,9.96675e-05
63,3478.05,0.85597,1.29282,0.65031,0.92588,0,0.66286,0.51228,0.55888,0.37734,0.65364,0.49277,0.52862,0.32172,1.03524,1.73615,1.00884,1.07446,0,8.31275e-05,8.31275e-05,8.31275e-05
64,3508.98,0.84054,1.27728,0.63161,0.9244,0,0.68735,0.51008,0.55435,0.37408,0.63114,0.50447,0.5316,0.3226,1.03326,1.72137,1.00649,1.07376,0,6.8454e-05,6.8454e-05,6.8454e-05
65,3539.78,0.83663,1.29,0.62618,0.91937,0,0.68962,0.5328,0.56699,0.37629,0.667,0.51404,0.537,0.32361,1.02937,1.71547,1.0124,1.07039,0,5.56768e-05,5.56768e-05,5.56768e-05
66,3576.02,0.83235,1.27752,0.62092,0.92154,0,0.65945,0.53961,0.57026,0.37912,0.63747,0.51788,0.53898,0.32507,1.02773,1.71133,1.01191,1.06942,0,4.48214e-05,4.48214e-05,4.48214e-05
67,3606.68,0.8341,1.26744,0.6173,0.91997,0,0.69393,0.5342,0.57691,0.38416,0.66906,0.51134,0.54212,0.32829,1.02766,1.71212,1.00642,1.06967,0,3.59097e-05,3.59097e-05,3.59097e-05
68,3638.74,0.83401,1.27745,0.61235,0.91241,0,0.69809,0.52809,0.57532,0.38455,0.67841,0.50666,0.54357,0.32817,1.02777,1.71814,1.00726,1.07099,0,2.89597e-05,2.89597e-05,2.89597e-05
69,3671.24,0.82771,1.27674,0.60554,0.91487,0,0.6022,0.57322,0.57169,0.38221,0.57682,0.54958,0.53886,0.32629,1.02547,1.71839,1.00668,1.06994,0,2.39854e-05,2.39854e-05,2.39854e-05
70,3701.42,0.8215,1.27795,0.6068,0.91654,0,0.61585,0.5485,0.57006,0.38182,0.62916,0.53825,0.54394,0.32627,1.0252,1.71673,1.00808,1.07045,0,2.09969e-05,2.09969e-05,2.09969e-05
