epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,6035.87,0.79501,1.17842,0.54427,0.88533,0,0.51261,0.4902,0.48888,0.3261,0.53357,0.43797,0.45874,0.26565,1.022,1.68729,0.93177,1.04525,0,0.000833229,0.000833229,0.000833229
41,6182.56,0.787,1.1762,0.53368,0.88444,0,0.6812,0.47794,0.48155,0.32134,0.65622,0.45639,0.45378,0.26543,1.02541,1.68348,0.9311,1.05209,0,0.000789704,0.000789704,0.000789704
42,6331.74,0.77339,1.14695,0.52155,0.87914,0,0.69761,0.47517,0.4889,0.32514,0.67876,0.45427,0.44856,0.26115,1.00728,1.68226,0.92804,1.04131,0,0.000746624,0.000746624,0.000746624
43,6482.93,0.77174,1.14483,0.51696,0.87676,0,0.5467,0.48672,0.49233,0.33257,0.52135,0.46376,0.46198,0.26863,1.0171,1.71163,0.93338,1.04107,0,0.000704073,0.000704073,0.000704073
44,6633.06,0.77192,1.14825,0.52055,0.87909,0,0.67155,0.50089,0.48491,0.32392,0.65982,0.46815,0.45037,0.2586,1.01165,1.70597,0.94235,1.04096,0,0.000662139,0.000662139,0.000662139
45,6781.34,0.76301,1.12602,0.51267,0.8758,0,0.55237,0.49228,0.49356,0.33151,0.53499,0.46373,0.46103,0.26986,1.01179,1.71554,0.93348,1.03675,0,0.000620905,0.000620905,0.000620905
46,6931.05,0.75853,1.11962,0.50633,0.87359,0,0.69389,0.47734,0.48709,0.32544,0.67954,0.45384,0.45748,0.26534,1.00914,1.68895,0.92772,1.04393,0,0.000580455,0.000580455,0.000580455
47,7082.1,0.74993,1.10505,0.49778,0.87276,0,0.67636,0.49091,0.49486,0.33351,0.68142,0.45265,0.46761,0.27234,1.00118,1.66617,0.90868,1.04322,0,0.00054087,0.00054087,0.00054087
48,7229.46,0.74438,1.11778,0.49855,0.87309,0,0.69407,0.47594,0.49476,0.33182,0.67943,0.44499,0.46145,0.26893,1.00969,1.75054,0.92538,1.04986,0,0.00050223,0.00050223,0.00050223
49,7378.98,0.74496,1.1006,0.49257,0.86974,0,0.534,0.48982,0.49004,0.32745,0.50589,0.46874,0.45374,0.2622,1.00404,1.69986,0.91526,1.04757,0,0.000464612,0.000464612,0.000464612
